input_representation,feature_set,source_column,is_forbidden,max_length,channels,policy,input_branch,tabular_feature_set,tabular_preprocessor_fit_scope,family
S1_sequence_pair+F4,F4,nuCpos_Affinity_147_yeast_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Affinity_147_yeast_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Affinity_147_yeast_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Affinity_147_yeast_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Affinity_147_yeast_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,nuCpos_Affinity_147_yeast_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,VanDerHeijden_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,VanDerHeijden_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,VanDerHeijden_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,VanDerHeijden_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,VanDerHeijden_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,VanDerHeijden_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,VanDerHeijden_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,LeNupH3Q85C_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,LeNupH3Q85C_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
