registry_id,metric,guide,negatives_in_guide,point_estimate,leave_one_guide_value,delta
S7F_R2,mcc,1026,0,0.603488686060613,0.6034365870562082,-5.20990044048375e-05
S7F_R2,mcc,1028,14,0.603488686060613,0.57392499678001,-0.029563689280603045
S7F_R2,mcc,1044,12,0.603488686060613,0.5788024375087993,-0.024686248551813672
S7F_R2,mcc,1060,13,0.603488686060613,0.5997720299255117,-0.003716656135101304
S7F_R2,mcc,1088,12,0.603488686060613,0.5905483492336792,-0.012940336826933851
S7F_R2,mcc,1120,14,0.603488686060613,0.57392499678001,-0.029563689280603045
S7F_R2,mcc,1408,9,0.603488686060613,0.5836746583110699,-0.019814027749543106
S7F_R2,mcc,1505,0,0.603488686060613,0.6424181704067203,0.038929484346107324
S7F_R2,mcc,3265,0,0.603488686060613,0.6025568419660433,-0.0009318440945697004
S7F_R2,mcc,3300,0,0.603488686060613,0.6001013308499471,-0.00338735521066591
S7F_R2,mcc,3420,0,0.603488686060613,0.5929639432120388,-0.010524742848574187
S7F_R2,mcc,7696,0,0.603488686060613,0.599916774420133,-0.0035719116404799856
S7F_R2,mcc,8319,0,0.603488686060613,0.6006755423799561,-0.002813143680656882
S7F_R2,mcc,8420,0,0.603488686060613,0.58901811716244,-0.014470568898172997
S7F_R2,mcc,9251,80,0.603488686060613,0.7347564955196217,0.13126780945900873
S7F_R2,mcc,10597,0,0.603488686060613,0.6034365870562082,-5.20990044048375e-05
S7F_R2,mcc,10599,0,0.603488686060613,0.6026112632117928,-0.0008774228488201974
S7F_R2,mcc,10957,0,0.603488686060613,0.6033843515791947,-0.00010433448141833335
S7F_R2,mcc,10990,0,0.603488686060613,0.602961489719887,-0.000527196340726066
S7F_R2,mcc,11012,0,0.603488686060613,0.6032794690567777,-0.00020921700383536024
S7F_R2,mcc,11173,0,0.603488686060613,0.5993218042105022,-0.004166881850110826
S7F_R2,mcc,11299,0,0.603488686060613,0.6032004449103425,-0.00028824115027048514
S7F_R2,mcc,11487,0,0.603488686060613,0.6031475886211216,-0.00034109743949140015
S7F_R2,mcc,11506,8,0.603488686060613,0.6217798117055968,0.018291125644983808
S7F_R2,specificity,228,7,0.650887573964497,0.6790123456790124,0.02812477171451533
S7F_R2,specificity,278,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,635,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,804,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,1018,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,1026,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,1028,14,0.650887573964497,0.6193548387096774,-0.03153273525481959
S7F_R2,specificity,1044,12,0.650887573964497,0.6242038216560509,-0.026683752308446107
S7F_R2,specificity,1060,13,0.650887573964497,0.6538461538461539,0.00295857988165682
S7F_R2,specificity,1088,12,0.650887573964497,0.643312101910828,-0.007575472053669041
S7F_R2,specificity,1120,14,0.650887573964497,0.6193548387096774,-0.03153273525481959
S7F_R2,specificity,1408,9,0.650887573964497,0.63125,-0.019637573964497057
S7F_R2,specificity,1505,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,3265,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,3300,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,3420,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,7696,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,8319,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,8420,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,9251,80,0.650887573964497,0.7415730337078652,0.09068545974336817
S7F_R2,specificity,10597,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,10599,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,10957,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,10990,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,11012,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,11173,0,0.650887573964497,0.650887573964497,0.0
S7F_R2,specificity,11299,0,0.650887573964497,0.650887573964497,0.0
